,WR,M1_Points,M2_Points,Mean,drafted
265,Tim Jones,10.4,7.98,9.19,False
268,Simi Fehoko,9.78,8.12,8.95,False
275,Cameron Batson,8.55,9.26,8.91,False
274,David Sills,8.65,9.08,8.86,False
283,Tyrell Shavers,7.36,10.14,8.75,False
262,Charlie Jones,10.78,6.14,8.46,False
292,Jalen Virgil,6.31,10.12,8.22,False
278,Devontez Walker,7.83,8.32,8.07,False
281,Andre Baccellia,7.52,7.83,7.68,False
284,Ja'Marcus Bradley,7.25,7.95,7.6,False
279,Keelan Doss,7.68,6.68,7.18,False
287,Anthony Miller,6.83,6.77,6.8,False
286,Mike Thomas,6.94,6.53,6.74,False
291,Penny Hart,6.61,6.62,6.62,False
288,Jacob Cowing,6.71,6.51,6.61,False
285,Keith Kirkwood,7.06,6.0,6.53,False
363,Velus Jones Jr.,0.92,12.01,6.46,False
290,Britain Covey,6.66,5.47,6.06,False
296,Cody Hollister,5.86,6.06,5.96,False
295,Jake Kumerow,5.91,6.02,5.96,False
297,Kevin White,5.77,5.99,5.88,False
301,Dezmon Patmon,5.46,6.1,5.78,False
293,Mike Strachan,6.08,5.37,5.72,False
302,Elijah Cooks,5.38,5.35,5.36,False
303,Dan Chisena,5.36,5.21,5.28,False
299,Juwann Winfree,5.74,4.65,5.2,False
298,Trent Taylor,5.75,4.61,5.18,False
300,Nikko Remigio,5.62,4.57,5.1,False
305,Christian Blake,4.91,4.66,4.78,False
306,Will Fuller,4.81,4.65,4.73,False
308,JJ Arcega-Whiteside,4.36,4.39,4.38,False
314,Alex Bachman,3.74,4.43,4.08,False
310,Seth Williams,4.12,3.93,4.03,False
312,Jason Moore,4.04,4.0,4.02,False
313,Tyrie Cleveland,3.82,3.74,3.78,False
356,Collin Johnson,1.32,6.19,3.76,False
320,Pharoh Cooper,3.4,4.03,3.72,False
317,Jamari Thrash,3.58,3.73,3.66,False
315,C.J. Board,3.64,3.54,3.59,False
316,Anthony Gould,3.6,3.38,3.49,False
323,Daniel Brown,3.26,3.71,3.48,False
318,Marcus Kemp,3.45,3.42,3.44,False
319,Dareke Young,3.44,3.4,3.42,False
321,Daylen Baldwin,3.38,3.45,3.42,False
304,Andre Roberts,5.17,1.55,3.36,False
326,Willie Snead,2.9,3.8,3.35,False
329,Xavier Smith,2.55,4.04,3.3,False
322,Dazz Newsome,3.3,3.28,3.29,False
334,Jaelon Darden,2.28,4.27,3.27,False
331,Cody White,2.46,3.92,3.19,False
325,Cade Johnson,3.03,3.06,3.04,False
324,Racey McMath,3.18,2.85,3.02,False
309,Gunner Olszewski,4.27,1.4,2.84,False
330,Dennis Houston,2.54,2.61,2.58,False
328,Miles Boykin,2.82,2.13,2.47,False
332,Andy Isabella,2.43,2.47,2.45,False
327,Austin Trammell,2.88,1.8,2.34,False
336,Tyrell Williams,2.22,2.3,2.26,False
337,Stanley Morgan Jr.,2.16,2.32,2.24,False
335,Davion Davis,2.25,2.19,2.22,False
338,Chris Blair,2.08,2.23,2.16,False
339,Grant Dubose,2.08,2.07,2.08,False
347,Danny Gray,1.76,2.25,2.0,False
343,C.J. Saunders,1.91,2.06,1.98,False
341,Frank Darby,1.98,1.96,1.97,False
346,Tyron Johnson,1.86,1.98,1.92,False
342,Casey Washington,1.93,1.92,1.92,False
344,Kirk Merritt,1.89,1.82,1.86,False
345,Javon Baker,1.86,1.77,1.82,False
333,Nsimba Webster,2.29,1.2,1.74,False
348,Tarik Black,1.69,1.58,1.64,False
352,Trishton Jackson,1.55,1.7,1.62,False
365,Malachi Corley,0.43,2.69,1.56,False
351,Cody Thompson,1.55,1.5,1.52,False
353,Marvin Hall,1.5,1.48,1.49,False
355,Isaiah Williams,1.37,1.52,1.44,False
354,Kendric Pryor,1.44,1.39,1.42,False
340,Jaydon Mickens,2.03,0.81,1.42,False
311,Montrell Washington,4.08,-1.31,1.38,False
357,Malik Taylor,1.31,1.33,1.32,False
349,Mason Kinsey,1.61,0.99,1.3,False
358,Ramel Keyton,1.19,1.2,1.19,False
359,Maurice Alexander,1.19,1.19,1.19,False
360,Jalen Camp,1.19,1.19,1.19,False
362,Tommylee Lewis,1.0,1.14,1.07,False
361,Easop Winston,1.0,0.98,0.99,False
364,Braylon Sanders,0.79,0.64,0.72,False
350,Keke Coutee,1.57,-0.6,0.49,False
366,Antoine Green,0.27,0.6,0.44,False
368,Kwamie Lassiter II,0.08,0.47,0.27,False
367,Brycen Tremayne,0.2,0.23,0.22,False
369,Colton Dowell,-0.21,0.45,0.12,False
370,Erik Ezukanma,-0.48,0.48,0.0,False
371,Jha'Quan Jackson,-1.73,-6.46,-4.1,False
372,Diontae Spencer,-4.2,-4.2,-4.2,False
