,WR,Points
201,Collin Johnson,6.19
171,Charlie Jones,6.14
611,Dezmon Patmon,6.1
587,Cody Hollister,6.06
580,Jake Kumerow,6.02
375,Keith Kirkwood,6.0
577,Kevin White,5.99
183,Britain Covey,5.47
392,Mike Strachan,5.37
393,Elijah Cooks,5.35
175,Dan Chisena,5.21
826,Christian Blake,4.66
814,Will Fuller,4.65
612,Juwann Winfree,4.65
206,Trent Taylor,4.61
172,Nikko Remigio,4.57
181,Alex Bachman,4.43
816,JJ Arcega-Whiteside,4.39
197,Jaelon Darden,4.27
179,Xavier Smith,4.04
600,Pharoh Cooper,4.03
619,Jason Moore,4.0
833,Seth Williams,3.93
180,Cody White,3.92
408,Willie Snead,3.8
595,Tyrie Cleveland,3.74
193,Jamari Thrash,3.73
827,Daniel Brown,3.71
615,C.J. Board,3.54
594,Daylen Baldwin,3.45
836,Marcus Kemp,3.42
613,Dareke Young,3.4
189,Anthony Gould,3.38
838,Dazz Newsome,3.28
609,Cade Johnson,3.06
589,Racey McMath,2.85
188,Malachi Corley,2.69
606,Dennis Houston,2.61
608,Andy Isabella,2.47
850,Stanley Morgan Jr.,2.32
852,Tyrell Williams,2.3
604,Danny Gray,2.25
187,Chris Blair,2.23
834,Davion Davis,2.19
401,Miles Boykin,2.13
198,Grant Dubose,2.07
851,C.J. Saunders,2.06
618,Tyron Johnson,1.98
601,Frank Darby,1.96
207,Casey Washington,1.92
848,Kirk Merritt,1.82
194,Austin Trammell,1.8
196,Javon Baker,1.77
397,Trishton Jackson,1.7
841,Tarik Black,1.58
804,Andre Roberts,1.55
208,Isaiah Williams,1.52
410,Cody Thompson,1.5
845,Marvin Hall,1.48
403,Gunner Olszewski,1.4
203,Kendric Pryor,1.39
409,Malik Taylor,1.33
202,Ramel Keyton,1.2
623,Nsimba Webster,1.2
617,Jalen Camp,1.19
614,Maurice Alexander,1.19
847,Tommylee Lewis,1.14
191,Mason Kinsey,0.99
853,Easop Winston,0.98
849,Jaydon Mickens,0.81
627,Braylon Sanders,0.64
413,Antoine Green,0.6
625,Erik Ezukanma,0.48
414,Kwamie Lassiter II,0.47
412,Colton Dowell,0.45
211,Brycen Tremayne,0.23
624,Keke Coutee,-0.6
622,Montrell Washington,-1.31
856,Diontae Spencer,-4.2
212,Jha'Quan Jackson,-6.46
